Name,F_N_AprilRabbit,
43,

F_Line,True,0,,,
F_LineDrop,True,0,False|270|False|1|3,,
F_AprilRabbit_TutorialText,True,0,"False||このゲームに興味を持って
頂きありがとうございます！！|False|0#0#0|False|3",,
F_AprilRabbit_TutorialText,True,8,False||これからチュートリアルを始めます！！|False|0#0#0|False|3,,
F_AprilRabbit_TutorialText,True,16,"False||落ちてくるノーツと線が
重なった時にタップしてください|True|400#0#0|False|3",,
F_General,True,24,False|1||0%Normal%-5%0#2%Normal%-5%0#2%Normal%-5%0#2%Normal%-5%0,,
F_AprilRabbit_TutorialText,True,32,"False||色の薄いノーツは
なぞればOKです|True|-800#0#0|False|3",,
F_General,True,38,False|1||0%Slide%4%0#4%Slide%5%0#4%Slide%6%0#4%Slide%5%0#4%Slide%4%0#4%Slide%5%0,,
F_AprilRabbit_TutorialText,True,47,"False||ひし形のノーツは
すばやくフリックしてください|False|0#0#0|False|3",,
F_General,True,56,False|1||0%Flick%5%0,,
F_AprilRabbit_TutorialText,True,62,"False||長いノーツは終わりまで
押し続けてください|True|800#0#0|False|3",,
F_General,True,70,False|1||0%Hold%-5%2#1%Hold%-5%2,,
F_AprilRabbit_TutorialText,True,78,"False||ゲームの基本的なルールは
これで全部です|True|-400#0#0|False|3",,
F_AprilRabbit_TutorialText,True,86,"False||これまでのノーツを
組み合わせてみましょう！|True|0#0#0|True|2.5",,
F_General,True,94,False|1||0%Normal%-4.5%0#2%Normal%-1.5%0#2%Normal%1.5%0#2%Normal%4.5%0#2%_None%4.5%0#0%Normal%5%0#8%Slide%5%0#8%Slide%5%0#8%_None%5%0#8%Normal%-5%0#8%Slide%-5%0#8%Slide%-5%0#8%_None%5%0#8%Normal%5%0#8%Slide%5%0#8%Slide%5%0#8%_None%5%0#8%Normal%-5%0#8%Slide%-5%0#8%Slide%-5%0#8%_None%-5%0#8%Hold%5%2#2%Hold%-5%2#2%Hold%5%2#2%Hold%-5%2#2%Hold%5%1#2%Normal%-2%1#2%Flick%-4%1,,
F_AprilRabbit_TutorialText,True,124,"False||チュートリアルは以上です
お付き合い頂きありがとうございました！|True|0#0#0|True|3",,
F_Result,True,132,,,
Null,True,0,,,
Null,True,0,,,
Null,True,0,,,
