Name,F_H_OsmanthusMarch,
1,False,

F_Line,True,0,"|1|4|Seconds|0.5|OutQuad|(0.00, 4.00)","0|False|(1.00, 0.00)|(0.00, 0.00)|-1|None|True|90|60|-1|None|True|1|0|0.25|OutQuad|False|0|(0.00, 0.00)
8|False|(-3.00, 0.00)|(0.00, 0.00)|-1|None|True|90|120|-1|None|True|1|0|0.25|OutQuad|False|0|(0.00, 0.00)
4|False|(0.00, 0.00)|(0.00, 0.00)|-1|None|True|90|60|-1|None|True|1|0|0.25|OutQuad|False|0|(0.00, 0.00)
2.666667|False|(5.00, 0.00)|(0.00, 0.00)|-1|None|True|90|120|-1|None|True|1|0|0.25|OutQuad|False|0|(0.00, 0.00)
2|False|(-5.00, 0.00)|(0.00, 0.00)|-1|None|True|90|60|-1|None|True|1|0|0.25|OutQuad|False|0|(0.00, 0.00)
2|False|(5.00, 0.00)|(0.00, 0.00)|-1|None|True|90|120|-1|None|True|1|0|0.25|OutQuad|False|0|(0.00, 0.00)",,False,
F_Line,True,2,"|4|8|Seconds|0.5|InQuad|(0.00, 4.00)","16|False|(-12.00, -2.00)|(-12.00, -6.00)|-1|None|True|90|-90|0.2|OutQuad|False|0.6|0|-1|None|False|0|(0.00, 0.00)",,False,
F_Line,True,3,"ベース|1|4|Seconds|100|OutQuad|(0.00, 0.00)","0|False|(0.00, 0.00)|(0.00, 0.00)|0|None|False|0|0|0|None|True|0|1|0.5|None|False|0|(0.00, 0.00)",,False,
F_LineDrop,True,4,32|4|False|False|270,,,False,
F_CameraMove,True,4,0,"0|False|(0.00, 0.00, 0.00)|True|(0.00, 0.00, 3.00)|True|0.4|OutQuad|Absolute",,False,
F_Loop,True,6,7|1#0,,,,
F_Generic2D,True,4,1|False|False,"Hold|4|8|0|2
Normal|-4|8|0|0
Normal|-2|8|0|0
Normal|-5|8|0|0
Hold|-4|8|0|2
Normal|4|8|0|2
Normal|2|8|0|2
Normal|5|8|0|2
_None|5|0|0|2
Normal|0|8|0|2
_None|0|0|0|2
Slide|0|16|0|2
Slide|0|16|0|2
_None|0|8|0|2
Slide|0|16|0|2
Slide|0|16|0|2
_None|0|8|0|2
Slide|0|16|0|2
Slide|0|16|0|2
Slide|0|8|0|2
Slide|0|8|0|2
Slide|0|16|0|2",,False,
F_Generic2D,True,9,1|False|True,"Normal|-4|4|0|0
Normal|-5|4|0|0
Normal|-3|4|0|0
Normal|-4|4|0|0",,False,
F_Generic2D,True,13,1|False|False,"Hold|6|8|0|6
Hold|-6|8|0|6
Hold|3|8|0|6
Hold|-3|8|0|6
Hold|0|4|0|4
Slide|-5|8|0|2
Slide|-2.5|8|0|2
Slide|0|8|0|2
Slide|2.5|8|0|2
Slide|5|0|0|2
Normal|-5|16|0|2
_None|-5|0|0|2
Slide|-6|8|0|2
_None|4|16|0|2
Normal|4|0|0|2
Slide|-5|8|0|2
Slide|-6|8|0|2
Slide|-4|0|0|2
Normal|6|0|0|2",,False,
F_Generic2D,True,20,1|False|False,"_None|0|0|0|0
_None|5|8|0|0
Normal|3|8|0|0
Normal|-1|8|0|0
Normal|-3|8|0|0
Normal|-5|0|0|0
Normal|0|8|0|0
Normal|-4|8|0|0
Normal|-2|8|0|0
Normal|2|8|0|0
_None|2|0|0|0
Normal|1|0|0|0
Normal|4|8|0|0
Normal|0|8|0|0
Normal|-4|0|0|0
Normal|-1|8|0|0
Normal|0|8|0|0
Slide|5|8|0|0
Slide|0|8|0|0
Slide|2.5|8|0|0
Slide|-2.5|8|0|0
Slide|-5|8|0|0",,False,
F_Generic2D,True,28,1|False|True,"Normal|0|4|1|16
Normal|-2|4|1|16
Normal|0|4|1|16
Normal|-4|4|1|16
Normal|-2|4|0.9|16
_None|-3|8|1|16
Normal|-5|8|0.8|16
Hold|-6|8|1|3",,False,
F_Generic2D,True,29,1|False|False,"Hold|3|4|1|16
Hold|4|4|0.9|16
Hold|5|4|0.8|16
Hold|6|4|0.7|4
_None|6|8|0.5|16
Hold|6|8|0.6|16
Hold|6|4|1|2",,False,
F_CameraMove,True,34,0,"0|False|(0.00, 0.00, 0.00)|True|(0.00, 0.00, 0.00)|True|1|OutQuad|Absolute",,False,
F_Label,True,0,1番,,,,
F_LineDrop,True,36,32|4|False|False|270,,,False,
F_Generic2D,True,36,1|False|False,"Normal|0|8|0|0
Normal|2|8|0|0
Normal|-3|8|0|0
Normal|4|8|0|0
Normal|-5|8|0|0
Normal|-6|8|0|0
Normal|6|8|0|0
Hold|4|4|0|4
Hold|-4|4|0|4
Normal|3|8|0|4
Hold|-1|4|0|4
Slide|3|4|0|4",,False,
F_Generic2D,True,44,1|False|False,"Normal|-3|8|0|0
Normal|-4|8|0|0
Normal|-3|8|0|0
Normal|3|8|0|0
Normal|4|8|0|0
Normal|3|8|0|0
Normal|-1|8|0|0
Hold|-4|4|0|4
Hold|4|4|0|4
Normal|-3|8|0|4
Hold|1|4|0|4
Slide|-3|4|0|4",,False,
F_Generic2D,True,52,1|False|False,"Hold|-5|8|0|0.5714286
Slide|2|8|0|0
Slide|0|8|0|0
Slide|3|8|0|0
Slide|6|8|0|0
Slide|4|8|0|0
Slide|2|8|0|0
Slide|0|4|0|4
Hold|5|4|0|4
Slide|4|8|0|4
Hold|-1|4|0|8",,False,
F_Generic2D,True,59,1|False|False,"Normal|3|4|0|0
Hold|-2|0|0|4
Hold|2|4|0|4
_None|0|4|0|4
Hold|-4|0|0|4
Hold|4|4|0|4
_None|4|4|0|4
Normal|-6|0|0|4
Normal|6|8|0|4
Slide|-5|0|0|4
Slide|5|8|0|4
Normal|-4|0|0|4
Normal|4|8|0|4
Slide|-5|0|0|4
Slide|5|8|0|4
Normal|-6|0|0|4
Normal|6|4|0|4",,False,
F_Label,True,0,1番サビ,,,,
F_Generic2D,True,0,1|False|False,_None|0|0|0|0,,False,
F_Label,True,0,2番,,,,
F_Label,True,0,アウトロ,,,,
